refseq_id	old_name
BB_RS03760	BB_0743
BB_RS03765	BB_0744
BB_RS03770	BB_t15
BB_RS03775	BB_t16
BB_RS03780	BB_0745
BB_RS03785	BB_0746
BB_RS03790	BB_0747
BB_RS03795	BB_0748
BB_RS03800	BB_0749
BB_RS03805	BB_0751
BB_RS03810	BB_0752
BB_RS03815	BB_0753
BB_RS03820	BB_0754
BB_RS03825	BB_0755
BB_RS03830	BB_0756
BB_RS03835	BB_0757
BB_RS03840	BB_0758
BB_RS03845	BB_t17
BB_RS03850	BB_0759
BB_RS03855	BB_0760
BB_RS03860	BB_0761
BB_RS03865	BB_0763
BB_RS03870	BB_0764
BB_RS03875	BB_0765
BB_RS03880	BB_0766
BB_RS03885	BB_0767
BB_RS03890	BB_0768
BB_RS03895	BB_0769
BB_RS03900	BB_0770
BB_RS03905	BB_0771
BB_RS03910	BB_0771a
BB_RS03915	BB_0772
BB_RS03920	BB_0773
BB_RS03925	BB_0774
BB_RS03930	BB_0775
BB_RS03935	BB_0776
BB_RS03940	BB_0777
BB_RS03945	BB_0778
BB_RS03950	BB_0779
BB_RS03955	BB_0780
BB_RS03960	BB_0781
BB_RS03965	BB_0782
BB_RS03970	BB_0783
BB_RS03975	BB_0784
BB_RS03980	BB_0785
BB_RS03985	BB_t18
BB_RS03990	BB_0786
BB_RS03995	BB_0787
BB_RS04000	BB_0788
BB_RS04005	BB_0789
BB_RS04010	BB_0790
BB_RS04015	BB_0791
BB_RS04020	BB_0792
BB_RS04025	BB_0793
BB_RS04030	BB_0794
BB_RS04035	BB_0795
BB_RS04040	BB_0796
BB_RS04045	BB_0797
BB_RS04050	BB_0798
BB_RS04055	BB_0799
BB_RS04060	BB_0800
BB_RS04065	BB_0801
BB_RS04070	BB_0802
BB_RS04075	BB_0803
BB_RS04080	BB_0804
BB_RS04085	BB_0805
BB_RS04090	BB_0806
BB_RS04095	BB_0807
BB_RS04100	BB_0808
BB_RS04105	BB_0809
BB_RS04110	BB_0810
BB_RS04115	BB_0811
