Isolate,MLST,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method,OspC_Type,AT_type
K64,1,1.0,,US,RI,,D,hybrid,A,AT1
UNY193,38,3.0,,US,NY,,L,illumina,D,
UNY211,3,2.0,,US,NY,,L,illumina,K,AT11
UNY149,3,2.0,,US,NY,,D,illumina,K,AT11
ESI286,20,1.0,,EU,Slovenia,,,illumina,B,AT2
UNY132,16,3.0,,US,NY,,L,illumina,I,AT9
URI219,1,1.0,,US,RI,,L,illumina,A,AT1
UNY139,7,1.0,,US,NY,,L,illumina,B,AT2
URI38,37,3.0,,US,RI,,L,illumina,T,AT14
UCT106,36,2.0,,US,CT,,D,illumina,N,AT13
URI46,3,2.0,,US,RI,,L,illumina,K,AT11
UNY131,50,3.0,,US,NY,,L,illumina,G,AT7
UNY202,9,2.0,,US,NY,,D,illumina,N,AT13
UNY165,14,3.0,,US,NY,,L,illumina,G,AT7
URI98,3,2.0,,US,RI,,D,illumina,K,AT11
URI71,3,2.0,,US,RI,,D,illumina,K,AT11
UNY179,3,2.0,,US,NY,,D,illumina,K,AT11
URI39,1,1.0,,US,RI,,D,illumina,A,AT1
URI55,19,3.0,,US,RI,,L,illumina,E,AT5
UCT66,1,1.0,,US,CT,,D,illumina,A,AT1
K56,3,2.0,,US,RI,,L,hybrid,K,AT11
UNY174,7,1.0,,US,NY,,L,illumina,B,AT2
URI48,9,2.0,,US,RI,,L,illumina,N,AT13
UNY164,4,2.0,,US,NY,,L,illumina,H,AT8
URI36,16,3.0,,US,RI,,D,illumina,I,AT9
URI102,1,1.0,,US,RI,,D,illumina,A,AT1
URI22,9,2.0,,US,RI,,L,illumina,N,AT4
URI68,36,2.0,,US,RI,,D,illumina,N,AT13
URI87,1,1.0,,US,RI,,D,illumina,A,AT1
UNY156,3,2.0,,US,NY,,L,illumina,K,AT11
UCT109,1,1.0,,US,CT,,L,illumina,A,AT1
URI100,59,1.0,,US,RI,,L,illumina,B,AT2
UNY146,3,2.0,,US,NY,,L,illumina,K,AT11
UNY180,3,2.0,,US,NY,,L,illumina,K,AT11
MR641,4,,,,,,,2pacbio,Hb,AT8
UCT29,1,1.0,,US,CT,,D,illumina,A,AT1
K13,9,2.0,,US,RI,,D,hybrid,K,AT11
URI40,1,1.0,,US,RI,,D,illumina,A,
URI79,59,1.0,,US,RI,,D,illumina,B,AT2
MC123,29,,Skin,US,WI,,L,pacbio,L,AT10
UMA5,36,2.0,,US,Nantucket,,L,illumina,N,AT13
UNY148,4,2.0,,US,NY,,L,illumina,H,AT8
MC105,32,,Skin,US,WI,,L,pacbio,H,AT8
UMA10,797,1.0,,US,Nantuchet,,L,illumina,B,AT2
UCT110,3,2.0,,US,CT,,D,illumina,K,AT11
URI37,59,1.0,,US,RI,,L,illumina,B,AT2
URI52,16,3.0,,US,RI,,L,illumina,I,AT9
UMA1,3,2.0,,US,Nantucket,,L,illumina,K,AT11
URI107,1,1.0,,US,RI,,D,illumina,A,AT1
UNY212,3,2.0,,US,NY,,D,illumina,K,AT11
ESI308,20,1.0,,EU,Slovenia,,,illumina,B,AT2
BL546,4,2.0,,NY,,,D,pacbio,H,AT8
UCT92,3,2.0,,US,CT,,L,illumina,K,AT11
UCT35,14,3.0,,US,CT,,L,illumina,G,AT7
URI59,14,3.0,,US,RI,,L,illumina,G,AT7
UWI262,51,3.0,,US,WI,,L,illumina,D,
B247,3,2.0,Skin,US,NY,BL146,D,pacbio,K,AT11
UCT104,3,2.0,,US,CT,,D,illumina,K,AT11
URI41,1,1.0,,US,RI,,L,illumina,A,AT1
UMA7,36,2.0,,US,Nantucket,,L,illumina,N,AT13
UCT73,3,2.0,,US,CT,,D,illumina,K,AT11
URI63,1,1.0,,US,RI,,L,illumina,A,AT1
UCT76,3,2.0,,US,CT,,L,illumina,K,AT11
UNY181,3,2.0,,US,NY,,D,illumina,K,AT11
UCT113,4,2.0,,US,CT,,D,illumina,H,AT8
URI93,1,1.0,,US,RI,,D,illumina,A,AT1
UMA15,3,2.0,,US,Nantucket,,L,illumina,K,AT11
UNY190,59,1.0,,US,NY,,D,illumina,B,AT2
BL224,3,2.0,,NY,,,D,pacbio,K,AT11
UNY185,3,2.0,,US,NY,,L,illumina,K,AT11
URI47,3,2.0,,US,RI,,L,illumina,K,AT11
K24,14,3.0,,US,CT,,L,hybrid,G,AT7
URI67,59,1.0,,US,RI,,L,illumina,B,AT2
URI24,1,1.0,,US,RI,,D,illumina,A,AT1
UMA4,3,2.0,,US,Nantucket,,L,illumina,K,AT11
BL515,11,3.0,,NY,,,D,pacbio,C,
URI108,59,1.0,,US,RI,,D,illumina,B,AT2
URI23,3,2.0,,US,RI,,L,illumina,K,AT11
K84,59,1.0,,US,CT,,D,hybrid,B,AT2
K6,1,1.0,,US,RI,,L,hybrid,A,AT1
URI111,1,1.0,,US,RI,,D,illumina,A,AT1
URI75,1,1.0,,US,RI,,D,illumina,A,AT1
UCT74,1,1.0,,US,CT,,D,illumina,A,AT1
URI65,1,1.0,,US,RI,,L,illumina,A,AT1
URI58,16,3.0,,US,RI,,L,illumina,I,AT9
URI70,7,1.0,,US,RI,,D,illumina,B,AT2
BL082_H1,1,,culture,US,NY,,,nanopore,A,AT1
K25,16,3.0,,US,RI,,D,hybrid,I,AT9
UNY157,59,1.0,,US,NY,,L,illumina,B,AT2
UMA16,59,1.0,,US,Nantucket,,L,illumina,B,AT2
HB-19,16,,culture,US,NY,,,nanopore,Ia,AT9
URI91,1,1.0,,US,RI,,L,illumina,A,AT1
UNY161,1,1.0,,US,NY,,D,illumina,A,AT1
URI57,59,1.0,,US,RI,,L,illumina,B,AT2
URI53,16,3.0,,US,RI,,L,illumina,I,AT9
UMA127,11,3.0,,US,Nantucket,,L,illumina,C,
URI61,1,1.0,,US,RI,,D,illumina,A,AT1
UWI275,12,3.0,,US,WI,,L,illumina,M,AT12
K73,1,1.0,,US,RI,,D,hybrid,A,AT1
URI72,1,1.0,,US,RI,,L,illumina,A,AT1
BL206,1,1.0,,NY,,,D,pacbio,A,AT1
UMA9,1,1.0,,US,Nantucket,,L,illumina,A,
K75,3,2.0,,US,RI,,L,hybrid,K,
UMA11,38,3.0,,US,Nantucket,,L,illumina,D,
K58,1,1.0,,US,RI,,D,hybrid,A,AT1
UMA12,1,1.0,,US,Nantucket,,L,illumina,A,AT1
URI105,1,1.0,,US,RI,,D,illumina,A,AT1
URI88,4,2.0,,US,RI,,L,illumina,H,AT8
URI101,1,1.0,,US,RI,,D,illumina,A,AT1
